DISTANCE_IN_METERS,DURATION_IN_SEC,NDT_IN_KMH,ORGANISATION,POINT_1_CITY,POINT_1_COUNTRY,POINT_1_LAT,POINT_1_LNG,POINT_1_NAME,POINT_1_POSTAL_CODE,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_2_CITY,POINT_2_COUNTRY,POINT_2_LAT,POINT_2_LNG,POINT_2_NAME,POINT_2_POSTAL_CODE,POINT_2_STREET,POINT_2_STREET_NUMBER,RBA_ID,REPORT_ID,REPORT_NAME,ROAD_TYPE,_id
810,49,60,COWI,,Denmark,56.16389697427008,10.18616224669654,3193,,,,,Denmark,56.16929516572502,10.194526468751974,3192,,,,182224,180952,AAR_BT_0145 3193 3192,MAJOR_ROAD,79
1471,82,65,BLIP Systems A/S,Aarhus,Denmark,56.17124851709378,10.156836627140033,Viborgvej,8210,Åby Ringvej,100,Aarhus,Denmark,56.17636991803806,10.178543744697558,Paludan Müllers Vej,8210,Hasle Ringvej,60,1811,1164,Viborgvej->Paludan Müllers vej,STREET,450
600,36,60,COWI,,Denmark,56.1589844936963,10.182944170639075,3185,,,,,Denmark,56.16389697427008,10.18616224669654,3193,,,,182228,181006,AAR_BT_0147 3185 3193,MAJOR_ROAD,81
1540,86,64,COWI,,Denmark,56.148242094184255,10.149874309192683,2653,,,,,Denmark,56.154610138216704,10.157440224536913,3199,,,,189676,187165,AAR_BT_0218 2653 3199,MAJOR_ROAD,152
540,32,61,COWI,Aarhus,Denmark,56.13236396838821,10.211722754631069,4376,8000,Strandvejen,122,Aarhus,Denmark,56.136738858609256,10.20776318039134,4375,8000,Strandvejen,94,229497,201345,AAR_BT_0436 4376 4375,MAJOR_ROAD,357
1075,65,60,COWI,Højbjerg,Denmark,56.105069529457616,10.206927436840033,4372,8270,Oddervej,172,Højbjerg,Denmark,56.114487000000004,10.207854230653766,4379,8270,Oddervej,89,229509,201507,AAR_BT_0442 4372 4379,MAJOR_ROAD,363
2905,136,77,COWI,Hasselager,Denmark,56.11067162844458,10.12228671163939,4562,8361,Møllebakken,15,Hasselager,Denmark,56.11996007421442,10.083678288360602,4549,8361,Genvejen,,229525,201722,AAR_BT_0450 4562 4549,MAJOR_ROAD,371
1215,62,71,COWI,Aarhus,Denmark,56.125829583613914,10.157709017196566,3986,8260,Skanderborgvej,224B,Aarhus,Denmark,56.11814500000001,10.148131067458962,4334,8260,Ringvej Syd,100,229541,201934,AAR_BT_0458 3986 4334,MAJOR_ROAD,379
2335,75,112,COWI,Hinnerup,Denmark,56.23489759702643,10.125013142824173,4323,8382,Nordjyske Motorvej,,Tilst,Denmark,56.21740644105506,10.10702759027481,4321,8381,Østjyske Motorvej,,159703,158475,AAR_BT_0006 4323 4321,MAJOR_ROAD,6
2065,106,70,COWI,Aarhus,Denmark,56.21508593264829,10.13978019262504,4364,8200,Søftenvej,,Hinnerup,Denmark,56.22579478256016,10.116589665412903,4322,8382,Stenhøjvej,5,159780,158505,AAR_BT_0007 4364 4322,MAJOR_ROAD,7
3255,108,109,COWI,Hinnerup,Denmark,56.23489759702643,10.125013142824173,4323,8382,Nordjyske Motorvej,,Aarhus,Denmark,56.21385651069573,10.144907008598352,4326,8200,15,,159874,158536,AAR_BT_0008 4323 4326,MAJOR_ROAD,8
3030,101,108,COWI,Aarhus,Denmark,56.21399075104399,10.145073305557275,4326,8200,15,,Hinnerup,Denmark,56.23490211108693,10.12519614484404,4323,8382,Nordjyske Motorvej,,159952,158565,AAR_BT_0009 4326 4323,MAJOR_ROAD,9
2850,93,110,COWI,Tilst,Denmark,56.21731711429131,10.10711200000003,4321,8381,Østjyske Motorvej,,Aarhus,Denmark,56.21385651069573,10.144907008598352,4326,8200,15,,160088,158595,AAR_BT_0010 4321 4326,MAJOR_ROAD,10
3655,122,108,COWI,Aarhus,Denmark,56.21399075104399,10.145073305557275,4326,8200,15,,Tilst,Denmark,56.21740644105506,10.10702759027481,4321,8381,Østjyske Motorvej,,160378,158624,AAR_BT_0011 4326 4321,MAJOR_ROAD,11
6715,219,110,COWI,Aarhus,Denmark,56.21385651069573,10.144907008598352,4326,8200,15,,Lystrup,Denmark,56.22521120818609,10.246299305557386,4327,8520,Djurslandmotorvejen,,160456,158655,AAR_BT_0012 4326 4327,MAJOR_ROAD,12
6695,219,110,COWI,Lystrup,Denmark,56.22537224883195,10.246154466270468,4327,8520,Djurslandmotorvejen,,Aarhus,Denmark,56.21399075104399,10.145073305557275,4326,8200,15,,160779,158684,AAR_BT_0013 4327 4326,MAJOR_ROAD,13
1175,41,103,COWI,Aarhus,Denmark,56.21385651069573,10.144907008598352,4326,8200,15,,Aarhus,Denmark,56.20852026816215,10.161038385250095,4349,8200,Søftenvej,,160818,158715,AAR_BT_0014 4326 4349,MAJOR_ROAD,14
600,40,54,COWI,Risskov,Denmark,56.190387445286476,10.223110775463056,4351,8240,Vestre Strandalle,69-71,Risskov,Denmark,56.18655111946821,10.218124775463139,4582,8240,Grenåvej,125,229122,193159,AAR_BT_0339 4351 4582,MAJOR_ROAD,260
650,45,52,COWI,,Denmark,56.159418709313904,10.187763760747885,3156,,,,,Denmark,56.162446952950255,10.17839594725615,3157,,,,183589,182846,AAR_BT_0167 3156 3157,MAJOR_ROAD,101
1160,67,62,COWI,,Denmark,56.153135887760996,10.139060373016491,3200,,,,,Denmark,56.154610138216704,10.157440224536913,3199,,,,183603,183037,AAR_BT_0174 3200 3199,MAJOR_ROAD,108
720,48,54,COWI,,Denmark,56.15591411050229,10.176133542327875,3198,,,,,Denmark,56.1589844936963,10.182944170639075,3185,,,,189750,188145,AAR_BT_0255 3198 3185,MAJOR_ROAD,189
2285,103,80,COWI,Ega,Denmark,56.21155278296297,10.27770202943043,4353,8250,Grenåvej,,Ega,Denmark,56.229971546821645,10.293955058860774,4357,8250,Bredevej,2,192370,190447,AAR_BT_0280 4353 4357,MAJOR_ROAD,213
555,30,67,COWI,Ega,Denmark,56.2107989833621,10.269519082174156,4356,8250,Mejlbyvej,4,Ega,Denmark,56.207098572394976,10.267205839286817,4569,8250,Grenåvej,,229094,192787,AAR_BT_0323 4356 4569,MAJOR_ROAD,246
640,33,70,COWI,,Denmark,56.17312782176926,10.161757688325906,2656,,,,,Denmark,56.17267848588397,10.153508571758266,3159,,,,186247,185290,AAR_BT_0204 2656 3159,MAJOR_ROAD,138
